,,,Party,Won,Total,,,,
Mydukur,133,SUDHAKAR PUTTA,Telugu Desam,135,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party,11,20950,21/21
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,135,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party,11,42829,22/22
Nagari,170,GALI BHANU PRAKASH,Telugu Desam,135,R.K. ROJA,Yuvajana Sramika Rythu Congress Party,11,45004,18/18
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desam,135,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party,11,27395,17/17
Nandikotkur (SC),136,G JAYASURYA,Telugu Desam,135,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,11,9792,27/27
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desam,135,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,11,12333,21/21
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desam,135,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,11,29371,21/21
Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena Party,21,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party,11,49738,13/13
Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu Desam,135,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,11,19705,18/18
Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam,135,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party,11,24676,19/19
Nellimarla,17,LOKAM NAGA MADHAVI,Janasena Party,21,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,11,39829,18/18
Nellore City,117,NARAYANA PONGURU,Telugu Desam,135,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party,11,72489,18/18
Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,135,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party,11,34480,24/24
Nidadavole,55,KANDULA DURGESH,Janasena Party,21,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party,11,33304,16/16
Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu Desam,135,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party,11,12378,21/21
Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu Desam,135,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,11,34026,19/19
Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party,11,ESWARI GIDDI,Telugu Desam,135,19338,23/23
Palacole,57,DR.NIMMALA RAMANAIDU,Telugu Desam,135,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),Yuvajana Sramika Rythu Congress Party,11,67945,14/14
Palakonda,10,JAYAKRISHNA NIMMAKA,Janasena Party,21,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party,11,13291,21/21
Palamaner,174,AMARANATHA REDDY. N,Telugu Desam,135,VENKATE GOWDA. N,Yuvajana Sramika Rythu Congress Party,11,20122,21/21
Palasa,2,GOUTHU SIREESHA,Telugu Desam,135,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,11,40350,21/21
Pamarru (SC),77,KUMAR RAJA VARLA,Telugu Desam,135,ANIL KUMAR KAILE,Yuvajana Sramika Rythu Congress Party,11,29690,17/17
Panyam,138,GOWRU CHARITHA REDDY,Telugu Desam,135,KATASANI RAMABHUPAL REDDY,Yuvajana Sramika Rythu Congress Party,11,40591,26/26
Parchur,104,YELURI SAMBASIVA RAO,Telugu Desam,135,YADAM BALAJI,Yuvajana Sramika Rythu Congress Party,11,24013,22/22
Parvathipuram,12,BONELA VIJAYA CHANDRA,Telugu Desam,135,ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party,11,24414,17/17
Pathapatnam,4,MAMIDI GOVINDA RAO,Telugu Desam,135,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,11,26527,24/24
Pattikonda,142,K.E. SHYAM KUMAR,Telugu Desam,135,KANGATI SREEDEVI,Yuvajana Sramika Rythu Congress Party,11,14211,19/19
Payakaraopet,33,ANITHA VANGALAPUDI,Telugu Desam,135,JOGULU KAMBALA,Yuvajana Sramika Rythu Congress Party,11,43727,21/21
Pedakurapadu,85,BHASHYAM PRAVEEN,Telugu Desam,135,NAMBURU SANKARA RAO,Yuvajana Sramika Rythu Congress Party,11,21089,20/20
Pedana,74,KAGITHA KRISHNAPRASAD,Telugu Desam,135,UPPALA RAMESH(RAMU),Yuvajana Sramika Rythu Congress Party,11,38123,17/17
